Variable,Importance,First phase,MissingPercent,3,nan
Diagnosis.biopsyMitoticCount,Low,Diagnosis,50.0,,Missing
Diagnosis.mitoticIndex,Low,Diagnosis,50.0,,Missing
PathologicalStage.imagingForPrimarySite,High,Diagnosis,50.0,Missing,Not present
PathologicalStage.ctForPrimarySite,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.mriForPrimarySite,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.usForPrimarySite,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.otherImagingForPrimarySite,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.imagingForNeck,High,Diagnosis,50.0,Missing,Not present
PathologicalStage.ctForNeck,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.mriForNeck,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.usForNeck,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.otherImagingForNeck,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.imagingForMetastasis,High,Diagnosis,50.0,Missing,Not present
PathologicalStage.ctForMetastasis,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.mriForMetastasis,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.usForMetastasis,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.otherImagingForMetastasis,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.localised,High,Diagnosis,0.0,,Not present
PathologicalStage.numberOfTumorNodules,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.locoRegional,High,Diagnosis,0.0,,Not present
PathologicalStage.regionalNodalMetastases,High,Diagnosis,0.0,,Not present
PathologicalStage.softTissue,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.distantLymphNode,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.lung,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.metastasisatbone,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.liver,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.pleura,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.peritoneum,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.brain,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.otherViscera,Medium,Diagnosis,50.0,Missing,Not present
PathologicalStage.unknown,Medium,Diagnosis,50.0,Missing,Not present
EpisodeEvent.cancerEpisode,High,Diagnosis,0.0,,Not present
EpisodeEvent.diseaseStatus,High,Diagnosis,0.0,,Not present
EpisodeEvent.definedAt,Low,Diagnosis,0.0,,Not present
EpisodeEvent.dateOfEpisode,High,Diagnosis,0.0,,Not present
Surgery.diagnosisReference,High,Diagnosis,50.0,Missing,Not present
Surgery.episodeEvent,High,Diagnosis,0.0,,Not present
Surgery.surgeryType,High,Diagnosis,0.0,,Not present
Surgery.dateOfSurgery,High,Diagnosis,0.0,,Not present
Surgery.surgeryIntention,Low,Diagnosis,0.0,,Not present
Surgery.marginsAfterSurgery,High,Diagnosis,0.0,,Not present
Surgery.tumorRupture,High,Diagnosis,0.0,,Not present
Surgery.surgicalSpecimenMitoticCount,Low,Diagnosis,0.0,,Not present
Surgery.surgicalSpecimenGradingOnlyInUntreatedTumours,High,Diagnosis,50.0,Missing,Not present
Radiotherapy.episodeEvent,High,Diagnosis,0.0,,Not present
Radiotherapy.radiotherapyHospital,Low,Diagnosis,50.0,Missing,Not present
Radiotherapy.intent,High,Diagnosis,0.0,,Not present
Radiotherapy.setting,High,Diagnosis,0.0,,Not present
Radiotherapy.totalDoseGy,High,Diagnosis,0.0,,Not present
Radiotherapy.numberOfFractions,High,Diagnosis,0.0,,Not present
Radiotherapy.startDate,High,Diagnosis,0.0,,Not present
Radiotherapy.endDate,High,Diagnosis,0.0,,Not present
Radiotherapy.metastaticTreatmentSiteLung,Medium,Diagnosis,50.0,Missing,Not present
Radiotherapy.metastaticTreatmentSiteMediastinum,Medium,Diagnosis,50.0,Missing,Not present
Radiotherapy.metastaticTreatmentSiteBone,Medium,Diagnosis,50.0,Missing,Not present
Radiotherapy.metastaticTreatmentSiteSoftTissue,Medium,Diagnosis,50.0,Missing,Not present
Radiotherapy.metastaticTreatmentSiteLiver,Medium,Diagnosis,50.0,Missing,Not present
Radiotherapy.rtTreatmentCompletedAsPlanned?,High,Diagnosis,50.0,Missing,Not present
Radiotherapy.regionalDeepHyperthemia,High,Diagnosis,0.0,,Not present
Radiotherapy.treatmentResponse,Medium,Diagnosis,0.0,,Not present
Radiotherapy.diagnosisReference,High,Diagnosis,50.0,Missing,Not present
SystemicTreatment.diagnosisReference,High,Diagnosis,50.0,Missing,Not present
SystemicTreatment.episodeEvent,High,Diagnosis,0.0,,Not present
SystemicTreatment.systemictreatmentHospital,Low,Diagnosis,50.0,Missing,Not present
SystemicTreatment.typeOfSystemicTreatment,High,Diagnosis,0.0,,Not present
SystemicTreatment.chemotherapyInfo,Low,Diagnosis,0.0,,Not present
SystemicTreatment.startDateSystemicTreatment,High,Diagnosis,0.0,,Not present
SystemicTreatment.endDateSystemicTreatment,High,Diagnosis,0.0,,Not present
SystemicTreatment.numberOfCycles/Administrations,Low,Diagnosis,50.0,Missing,Not present
SystemicTreatment.regimen,Low,Diagnosis,50.0,Missing,Not present
SystemicTreatment.reasonForEndOfTreatment,Low,Diagnosis,0.0,,Not present
SystemicTreatment.treatmentResponse,High,Diagnosis,0.0,,Not present
PatientFollowUp.patient,High,Diagnosis,50.0,,Missing
PatientFollowUp.statusOfPatientAtLastFollowUp,High,Diagnosis,50.0,,Missing
PatientFollowUp.statusOfDiseaseAtLastFollowUp,High,Diagnosis,50.0,,Missing
PatientFollowUp.patientFollowUpDate,High,Diagnosis,50.0,,Missing
PatientFollowUp.lastContact,High,Diagnosis,50.0,,Missing
DrugsForTreatments.systemicTreatment,High,Diagnosis,0.0,,Not present
DrugsForTreatments.otherLocalTreatment,High,Diagnosis,50.0,Missing,Not present
DrugsForTreatments.isolatedLimbPerfusion,High,Diagnosis,50.0,Missing,Not present
DrugsForTreatments.drug,High,Diagnosis,0.0,,Not present
